iter	Passed	Remaining
399	46316	69474
400	46433	69360
401	46527	69213
402	46626	69071
403	46734	68944
404	46852	68833
405	46958	68702
406	47085	68603
407	47196	68481
408	47305	68355
409	47420	68238
410	47538	68127
411	47681	68050
412	47854	68015
413	47986	67923
414	48152	67877
415	48334	67854
416	48460	67751
417	48564	67618
418	48679	67500
419	48806	67399
420	48945	67314
421	49054	67188
422	49153	67049
423	49250	66906
424	49351	66769
425	49449	66628
426	49555	66499
427	49655	66361
428	49748	66215
429	49848	66078
430	49951	65944
431	50037	65790
432	50133	65648
433	50222	65497
434	50317	65354
435	50412	65212
436	50536	65107
437	50633	64967
438	50725	64822
439	50815	64674
440	50918	64543
441	51026	64418
442	51117	64272
443	51225	64146
444	51335	64025
445	51446	63904
446	51572	63801
447	51705	63708
448	51859	63641
449	51984	63537
450	52087	63406
451	52203	63290
452	52358	63223
453	52483	63118
454	52578	62978
455	52683	62850
456	52777	62709
457	52874	62572
458	52975	62438
459	53080	62312
460	53188	62187
461	53292	62059
462	53393	61926
463	53503	61805
464	53616	61687
465	53711	61549
466	53795	61398
467	53879	61247
468	53958	61092
469	54053	60954
470	54147	60815
471	54249	60685
472	54338	60542
473	54434	60406
474	54531	60271
475	54635	60144
476	54725	60003
477	54837	59884
478	54952	59770
479	55050	59637
480	55154	59512
481	55248	59374
482	55339	59235
483	55432	59097
484	55532	58967
485	55644	58850
486	55749	58725
487	55859	58607
488	55971	58489
489	56083	58372
490	56225	58286
491	56332	58164
492	56436	58038
493	56554	57928
494	56679	57824
495	56787	57703
496	56897	57584
497	57002	57460
498	57146	57376
499	57273	57273
500	57382	57152
501	57475	57018
502	57682	56994
503	57824	56907
504	57917	56770
505	58011	56635
506	58111	56507
507	58216	56383
508	58321	56258
509	58425	56134
510	58527	56007
511	58624	55876
512	58730	55753
513	58876	55669
514	58991	55554
515	59118	55452
516	59228	55333
517	59359	55234
518	59486	55131
519	59621	55034
520	59735	54920
521	59843	54799
522	59944	54671
523	60047	54547
524	60149	54420
525	60258	54301
526	60368	54182
527	60482	54067
528	60576	53934
529	60676	53807
530	60772	53676
531	60875	53552
532	60968	53418
533	61065	53289
534	61169	53166
535	61273	53042
536	61375	52917
537	61485	52799
538	61577	52666
539	61672	52536
540	61780	52416
541	61897	52304
542	61994	52175
543	62083	52040
544	62180	51912
545	62293	51797
546	62388	51667
547	62476	51531
548	62577	51407
549	62680	51283
550	62769	51149
551	62854	51012
552	62942	50877
553	63028	50741
554	63118	50608
555	63203	50471
556	63289	50335
557	63378	50203
558	63465	50068
559	63547	49930
560	63632	49794
561	63728	49667
562	63860	49568
563	64015	49486
564	64112	49360
565	64205	49231
566	64295	49100
567	64380	48965
568	64463	48828
569	64545	48692
570	64635	48561
571	64723	48429
572	64824	48307
573	64911	48174
574	65017	48056
575	65110	47928
576	65214	47808
577	65297	47673
578	65382	47540
579	65498	47429
580	65598	47307
581	65683	47175
582	65771	47044
583	65855	46910
584	65936	46775
585	66014	46638
586	66095	46503
587	66174	46367
588	66265	46239
589	66345	46104
590	66429	45972
591	66521	45846
592	66633	45733
593	66725	45607
594	66825	45486
595	66956	45386
596	67048	45260
597	67140	45134
598	67305	45057
599	67391	44927
600	67476	44797
601	67560	44666
602	67652	44540
603	67736	44409
604	67822	44280
605	67905	44149
606	67981	44014
607	68064	43883
608	68145	43751
609	68224	43619
610	68306	43488
611	68397	43362
612	68484	43235
613	68573	43109
614	68665	42985
615	68782	42877
616	68868	42750
617	68950	42619
618	69058	42506
619	69154	42384
620	69246	42261
621	69327	42131
622	69413	42004
623	69501	41879
624	69590	41754
625	69677	41628
626	69760	41500
627	69840	41370
628	69921	41241
629	70006	41114
630	70084	40984
631	70171	40859
632	70251	40730
633	70332	40602
634	70414	40474
635	70494	40346
636	70573	40216
637	70651	40087
638	70731	39959
639	70809	39830
640	70885	39700
641	70959	39569
642	71040	39442
643	71116	39312
644	71194	39184
645	71273	39057
646	71358	38932
647	71434	38804
648	71511	38675
649	71583	38544
650	71654	38413
651	71729	38285
652	71803	38156
653	71873	38024
654	71949	37897
655	72032	37773
656	72119	37651
657	72204	37528
658	72279	37401
659	72355	37273
660	72431	37147
661	72511	37022
662	72587	36895
663	72662	36769
664	72749	36648
665	72835	36527
666	72919	36405
667	73001	36282
668	73080	36157
669	73154	36031
670	73227	35904
671	73303	35779
672	73376	35652
673	73452	35527
674	73526	35401
675	73598	35275
676	73671	35148
677	73742	35022
678	73812	34895
679	73891	34772
680	73966	34647
681	74042	34524
682	74110	34396
683	74183	34271
684	74251	34144
685	74320	34018
686	74391	33893
687	74460	33766
688	74526	33639
689	74596	33514
690	74665	33388
691	74734	33263
692	74807	33139
693	74878	33015
694	74950	32892
695	75028	32771
696	75101	32648
697	75187	32531
698	75263	32409
699	75351	32293
700	75429	32173
701	75501	32050
702	75573	31927
703	75642	31804
704	75718	31683
705	75790	31561
706	75865	31440
707	75941	31320
708	76015	31199
709	76088	31078
710	76161	30957
711	76233	30836
712	76317	30719
713	76389	30598
714	76468	30480
715	76532	30356
716	76600	30234
717	76674	30114
718	76747	29994
719	76818	29873
720	76889	29753
721	76966	29635
722	77043	29517
723	77123	29400
724	77196	29281
725	77271	29163
726	77348	29045
727	77425	28928
728	77509	28813
729	77585	28696
730	77665	28580
731	77746	28464
732	77840	28353
733	77978	28259
734	78078	28150
735	78173	28040
736	78416	27983
737	78557	27889
738	78705	27797
739	78802	27687
740	78902	27578
741	78980	27462
742	79056	27345
743	79130	27227
744	79204	27110
745	79283	26994
746	79359	26878
747	79440	26763
748	79528	26650
749	79608	26536
750	79701	26425
751	79776	26309
752	79852	26193
753	79931	26078
754	80007	25962
755	80085	25847
756	80161	25732
757	80238	25617
758	80312	25501
759	80386	25385
760	80456	25268
761	80531	25152
762	80607	25037
763	80683	24923
764	80761	24809
765	80831	24692
766	80901	24576
767	80971	24460
768	81037	24342
769	81118	24230
770	81191	24115
771	81265	24000
772	81338	23886
773	81412	23771
774	81485	23656
775	81558	23542
776	81628	23427
777	81697	23312
778	81771	23198
779	81844	23084
780	81914	22969
781	81985	22855
782	82056	22741
783	82126	22626
784	82199	22513
785	82272	22399
786	82348	22287
787	82423	22174
788	82495	22061
789	82572	21949
790	82649	21837
791	82720	21724
792	82796	21612
793	82872	21500
794	82945	21388
795	83021	21276
796	83103	21166
797	83175	21054
798	83243	20941
799	83315	20828
800	83390	20717
801	83463	20605
802	83532	20493
803	83618	20384
804	83692	20273
805	83764	20161
806	83835	20049
807	83906	19938
808	83976	19826
809	84048	19715
810	84118	19603
811	84196	19493
812	84266	19382
813	84337	19271
814	84410	19160
815	84486	19050
816	84556	18939
817	84627	18829
818	84700	18718
819	84773	18608
820	84847	18499
821	84921	18389
822	85009	18282
823	85088	18174
824	85171	18066
825	85248	17958
826	85328	17849
827	85404	17741
828	85507	17637
829	85599	17532
830	85704	17429
831	85788	17322
832	85870	17215
833	85951	17107
834	86039	17001
835	86117	16893
836	86199	16786
837	86282	16679
838	86364	16572
839	86447	16466
840	86527	16358
841	86610	16252
842	86704	16147
843	86783	16040
844	86860	15932
845	86932	15824
846	87005	15716
847	87080	15608
848	87153	15500
849	87226	15392
850	87303	15285
851	87380	15178
852	87455	15071
853	87529	14964
854	87605	14857
855	87697	14752
856	87773	14646
857	87845	14538
858	87920	14431
859	87995	14324
860	88075	14218
861	88154	14112
862	88229	14006
863	88306	13900
864	88383	13793
865	88461	13688
866	88536	13581
867	88613	13475
868	88713	13373
869	88801	13269
870	88879	13163
871	88961	13058
872	89032	12952
873	89106	12846
874	89189	12741
875	89273	12636
876	89355	12532
877	89432	12426
878	89513	12322
879	89595	12217
880	89674	12112
881	89828	12017
882	90010	11926
883	90084	11821
884	90159	11715
885	90235	11610
886	90304	11504
887	90378	11399
888	90460	11294
889	90534	11189
890	90613	11085
891	90687	10980
892	90762	10875
893	90848	10771
894	90926	10667
895	91008	10563
896	91095	10460
897	91174	10356
898	91262	10253
899	91337	10148
900	91412	10044
901	91494	9940
902	91575	9836
903	91649	9732
904	91725	9628
905	91809	9525
906	91883	9421
907	91959	9317
908	92040	9214
909	92125	9111
910	92199	9007
911	92274	8903
912	92358	8800
913	92431	8697
914	92505	8593
915	92574	8489
916	92655	8386
917	92732	8283
918	92809	8180
919	92888	8077
920	92962	7973
921	93039	7871
922	93117	7768
923	93201	7665
924	93280	7563
925	93363	7461
926	93437	7358
927	93515	7255
928	93588	7152
929	93663	7049
930	93742	6947
931	93815	6844
932	93896	6742
933	93968	6640
934	94043	6537
935	94115	6435
936	94208	6334
937	94285	6232
938	94360	6129
939	94430	6027
940	94508	5925
941	94589	5823
942	94662	5721
943	94738	5620
944	94821	5518
945	94896	5416
946	94974	5315
947	95048	5213
948	95127	5112
949	95211	5011
950	95289	4909
951	95366	4808
952	95447	4707
953	95521	4605
954	95597	4504
955	95674	4403
956	95757	4302
957	95846	4202
958	95932	4101
959	96012	4000
960	96093	3899
961	96177	3799
962	96260	3698
963	96349	3598
964	96434	3497
965	96515	3397
966	96595	3296
967	96672	3195
968	96752	3095
969	96851	2995
970	96930	2894
971	97007	2794
972	97085	2694
973	97171	2593
974	97247	2493
975	97328	2393
976	97408	2293
977	97487	2192
978	97569	2092
979	97651	1992
980	97730	1892
981	97812	1792
982	97892	1692
983	97977	1593
984	98218	1495
985	98356	1396
986	98442	1296
987	98534	1196
988	98619	1096
989	98700	996
990	98780	897
991	98859	797
992	98941	697
993	99018	597
994	99098	497
995	99177	398
996	99255	298
997	99337	199
998	99414	99
999	99503	0
