iter	MultiClass
134	1.302080074
135	1.293308392
136	1.286509263
137	1.278884562
138	1.273378508
139	1.263332979
140	1.257323165
141	1.251293319
142	1.242617744
143	1.234295671
144	1.227718069
145	1.2190747
146	1.211273152
147	1.206108589
148	1.20171925
149	1.192898636
150	1.186740506
151	1.17841071
152	1.169659129
153	1.164527791
154	1.15659524
155	1.151740097
156	1.14772309
157	1.141585728
158	1.135139272
159	1.130897221
160	1.127099616
161	1.122304802
162	1.114995187
163	1.107616271
164	1.101623568
165	1.095926781
166	1.089382807
167	1.084054292
168	1.079051471
169	1.07342308
170	1.06799901
171	1.063379491
172	1.057244344
173	1.051621712
174	1.044651572
175	1.038996645
176	1.031887698
177	1.027676916
178	1.023171443
179	1.018643188
180	1.012728874
181	1.006137804
182	1.00099821
183	0.9979274923
184	0.9946272533
185	0.9903483463
186	0.9873198422
187	0.9810493395
188	0.9761043894
189	0.9725346248
190	0.9680632961
191	0.9631898521
192	0.9599011447
193	0.955628797
194	0.9503472241
195	0.9473799211
196	0.9419637056
197	0.9378362828
198	0.9344174915
199	0.9272886045
200	0.9218195734
201	0.9174101784
202	0.9123273682
203	0.9089546964
204	0.9037126994
205	0.8973735819
206	0.893808001
207	0.8885453498
208	0.8844791541
209	0.8793020385
210	0.8744381096
211	0.8692164831
212	0.8650882246
213	0.860520012
214	0.8565630217
215	0.8526296561
216	0.8481185675
217	0.8437625655
218	0.8385442383
219	0.8343138598
220	0.8300446161
221	0.8256906659
222	0.8225885528
223	0.8174830199
224	0.8127878075
225	0.8087490317
226	0.8048502216
227	0.802058366
228	0.7974030751
229	0.7936240819
230	0.7886328392
231	0.7853067107
232	0.7805759721
233	0.7768068318
234	0.7724798453
235	0.768393372
236	0.7636032883
237	0.7605883668
238	0.7578846544
239	0.7536709959
240	0.7490450319
241	0.7446155486
242	0.7412676753
243	0.7382631961
244	0.7350918527
245	0.7319926793
246	0.7287371743
247	0.7249909916
248	0.7209997611
249	0.7177298867
250	0.7136872209
251	0.7101999709
252	0.7072662595
253	0.7031331516
254	0.7002853344
255	0.6970971932
256	0.6943267529
257	0.6907977323
258	0.6877510102
259	0.6832861834
260	0.6791829934
261	0.6769822253
262	0.6732773438
263	0.6700872504
264	0.6658720037
265	0.6618640106
266	0.6581006028
267	0.6546976191
268	0.6514570387
269	0.6480261531
270	0.6453385692
271	0.6416825337
272	0.637893893
273	0.6337446658
274	0.6308497086
275	0.6284806111
276	0.6254884474
277	0.6229668836
278	0.619739157
279	0.6163703384
280	0.6139560659
281	0.6116659114
282	0.6081539586
283	0.6064070448
284	0.6039004345
285	0.6012187468
286	0.597844023
287	0.5962393205
288	0.5933526998
289	0.5898413588
290	0.5863834165
291	0.5842643735
292	0.5821848152
293	0.5798921424
294	0.5766143108
295	0.5740990795
296	0.5715792889
297	0.569347626
298	0.5672125769
299	0.5653562684
300	0.5624497764
301	0.5603720043
302	0.5577697748
303	0.5553491208
304	0.55249394
305	0.5502280435
306	0.5478047845
307	0.5455124127
308	0.543075016
309	0.5404787995
310	0.5378463572
311	0.5356121338
312	0.5325800328
313	0.530423142
314	0.5290740912
315	0.5269673385
316	0.5239894402
317	0.522218474
318	0.5198052886
319	0.5173385533
320	0.5148842062
321	0.5120300251
322	0.5097974174
323	0.5077174845
324	0.5055624806
325	0.5028296269
326	0.5002596039
327	0.49775366
328	0.4956261875
329	0.4940536217
330	0.4919183588
331	0.4898731794
332	0.488090628
333	0.4866766667
334	0.4844816551
335	0.4824766264
336	0.4812411237
337	0.4791954775
338	0.4769550241
339	0.47496761
340	0.4726357859
341	0.4706584286
342	0.4688870262
343	0.4670349459
344	0.4651973009
345	0.4633192568
346	0.4619959744
347	0.4599904216
348	0.4580604311
349	0.456083947
350	0.4545228111
351	0.452405877
352	0.450084809
353	0.4482709748
354	0.4464797816
355	0.4449786889
356	0.4424673747
357	0.440381828
358	0.4392263079
359	0.4376171873
360	0.4363985646
361	0.4353543644
362	0.4338469948
363	0.4326505536
364	0.4314219242
365	0.4295936437
366	0.4283155515
367	0.4264919374
368	0.424436847
369	0.422801021
370	0.4211251781
371	0.4194834469
372	0.4178366402
373	0.4159450852
374	0.4148369636
375	0.4130192133
376	0.4113272447
377	0.4098423118
378	0.408680973
379	0.4069712032
380	0.4051545464
381	0.4042104075
382	0.4024362986
383	0.4009941502
384	0.4000801726
385	0.3985460933
386	0.3971050159
387	0.3952947883
388	0.3937752114
389	0.3922772847
390	0.3906574792
391	0.3892589118
392	0.3873975676
393	0.3857616713
394	0.3848842694
395	0.3836220261
396	0.3824075232
397	0.3810348753
398	0.3798308248
399	0.3785376202
400	0.3769676996
401	0.3759101805
402	0.3742778212
403	0.3732879598
404	0.372320715
405	0.3709367346
406	0.3693853264
407	0.3679766108
408	0.3664424976
409	0.3654324999
410	0.3638792804
411	0.3624368022
412	0.3608632858
413	0.3593253568
414	0.3582714959
415	0.3573323207
416	0.3558906394
417	0.354912105
418	0.3536720317
419	0.3521812696
420	0.3510299759
421	0.3498249088
422	0.3483021104
423	0.3470921427
424	0.345811564
425	0.3448106513
426	0.3439630165
427	0.3429107691
428	0.3417311116
429	0.3405917804
430	0.3395388109
431	0.338272343
432	0.3369648224
433	0.3356056362
434	0.3343771014
435	0.3331553154
436	0.3319171616
437	0.3308255326
438	0.3299756398
439	0.3288663934
440	0.327921708
441	0.3265988452
442	0.3253739642
443	0.3242374126
444	0.3229038258
445	0.3219140428
446	0.3208743302
447	0.3200831713
448	0.3189732018
449	0.3179626924
450	0.3168619169
451	0.315692717
452	0.3146376128
453	0.3138041301
454	0.3127498984
455	0.3120806378
456	0.3111610898
457	0.3102225886
458	0.3092234712
459	0.3080546701
460	0.3071402394
461	0.3061830212
462	0.3050408103
463	0.3041321638
464	0.3030821261
465	0.3021755948
466	0.3012553082
467	0.3000397313
468	0.2988102984
469	0.297775572
470	0.2970413625
471	0.2962102051
472	0.2954293544
473	0.2943991904
474	0.2934391628
475	0.2924023723
476	0.2913298131
477	0.2902334593
478	0.2891721305
479	0.2885337985
480	0.287690476
481	0.2871338344
482	0.2864821599
483	0.2856360829
484	0.2849574547
485	0.2839785661
486	0.283218237
487	0.2823620183
488	0.2816376457
489	0.2805888681
490	0.2799764142
491	0.2791362211
492	0.2783151637
493	0.2776966488
494	0.2768588002
495	0.2760101113
496	0.2749912072
497	0.2741940604
498	0.2734166629
499	0.2726011971
500	0.2718404417
501	0.271245248
502	0.270455706
503	0.2697182747
504	0.2689531408
505	0.268148253
506	0.2676468258
507	0.2668180347
508	0.2659929162
509	0.2652552656
510	0.2644983968
511	0.2634401741
512	0.2625675307
513	0.2618097834
514	0.2612938153
515	0.2608925687
516	0.2601016104
517	0.2596159863
518	0.2586728196
519	0.258024204
520	0.2574570814
521	0.2566369808
522	0.2561774784
523	0.2552935478
524	0.2546613923
525	0.2540333388
526	0.2532327907
527	0.2527253153
528	0.2519088155
529	0.2511323122
530	0.2504419163
531	0.2498015529
532	0.2489996546
533	0.248283027
534	0.2476867302
535	0.2471023754
536	0.2464060062
537	0.2458657094
538	0.245188415
539	0.2444179866
540	0.2438491971
541	0.2432227959
542	0.2423943747
543	0.2418202668
544	0.2413199238
545	0.2407540344
546	0.2402062646
547	0.2395671283
548	0.2388116311
549	0.2380066683
550	0.237279841
551	0.2366513808
552	0.2361438615
553	0.2357314336
554	0.2348494297
555	0.2340422094
556	0.2333430881
557	0.2328360491
558	0.23205987
559	0.2315531666
560	0.2308616699
561	0.2302275311
562	0.2297406506
563	0.2289193984
564	0.2285469233
565	0.2280210703
566	0.2274642747
567	0.2266940303
568	0.2262029442
569	0.2255914469
570	0.2250624118
571	0.2245424272
572	0.2239686219
573	0.2234439813
574	0.2229547082
575	0.2224516134
576	0.2219235605
577	0.2212192803
578	0.2206267014
579	0.220139325
580	0.2193986899
581	0.2188566805
582	0.2182232299
583	0.2177343486
584	0.2172084997
585	0.2166804596
586	0.215983906
587	0.2153025882
588	0.214723416
589	0.214201108
590	0.2136116688
591	0.2130029209
592	0.2126487802
593	0.2121360407
594	0.2115348168
595	0.2111662917
596	0.2105576425
597	0.2100704001
598	0.2097473365
599	0.2092014978
600	0.2088642522
601	0.2084914391
602	0.2080317942
603	0.2075312797
604	0.2070496417
605	0.2065413681
606	0.2060891989
607	0.2056449376
608	0.2051639046
609	0.2045453945
610	0.2040195326
611	0.2034926706
612	0.202870812
613	0.2023643675
614	0.201842137
615	0.2013676937
616	0.201026686
617	0.2004771854
618	0.2000850516
619	0.1995857683
620	0.1990779253
621	0.1985908292
622	0.1982728437
623	0.197718085
624	0.1974296438
625	0.1969833371
626	0.1965306609
627	0.1960532087
628	0.1954695681
629	0.194881762
630	0.1943356128
631	0.1937588038
632	0.1933668496
633	0.1929897974
634	0.1926477767
635	0.1921114642
636	0.1916384413
637	0.1911618977
638	0.1907031985
639	0.1902769408
640	0.1898235726
641	0.1893051596
642	0.1888086767
643	0.1883991083
644	0.1879955867
645	0.187599957
646	0.1871120521
647	0.1867079344
648	0.1862482908
649	0.1858871176
650	0.1854706797
651	0.1850059144
652	0.1848445489
653	0.1845252797
654	0.1840317192
655	0.183731188
656	0.1834339204
657	0.1831582576
658	0.1827733897
659	0.1824995123
660	0.1822162887
661	0.1817973706
662	0.1814141938
663	0.1810298469
664	0.1807910742
665	0.1803678494
666	0.1800663867
667	0.1796308487
668	0.179229378
669	0.1787200751
670	0.178267901
671	0.177906976
672	0.1775271808
673	0.1771393144
674	0.1768013987
675	0.1764631111
676	0.1759989674
677	0.1756004679
678	0.1753268853
679	0.17481135
680	0.1743387129
681	0.1739875466
682	0.1736101006
683	0.1734200404
684	0.1730328673
685	0.1727037769
686	0.1723749001
687	0.1719615173
688	0.1715809699
689	0.1713103361
690	0.1709022232
691	0.1705066135
692	0.170192754
693	0.169897775
694	0.1695343734
695	0.1691135237
696	0.1687230126
697	0.1682858104
698	0.1678644926
699	0.167522893
700	0.1672005729
701	0.1668188177
702	0.1663726018
703	0.1660651722
704	0.165705546
705	0.1653519644
706	0.1650647822
707	0.1648579919
708	0.1645074325
709	0.1641760852
710	0.1638110868
711	0.1634484173
712	0.1631578145
713	0.1629317647
714	0.1625851994
715	0.1622410966
716	0.1619094282
717	0.1615851136
718	0.1612890901
719	0.1610463557
720	0.1606601934
721	0.1602268315
722	0.1599603391
723	0.1596504673
724	0.1593179148
725	0.1591482276
726	0.1588520974
727	0.158584612
728	0.1581940701
729	0.1578510502
730	0.1575207837
731	0.1571579123
732	0.1569381642
733	0.1567202712
734	0.1563652031
735	0.1560728826
736	0.1558039099
737	0.1554988331
738	0.1552571311
739	0.155053841
740	0.1547679247
741	0.154407133
742	0.1541711916
743	0.1538784604
744	0.153609735
745	0.1532882778
746	0.1530508377
747	0.1527579137
748	0.1523998543
749	0.1521374422
750	0.1518839401
751	0.1516034131
752	0.1513602361
753	0.1511548575
754	0.1508211365
755	0.1504741358
756	0.1501708072
757	0.1498810259
758	0.1495603221
759	0.149248855
760	0.148993277
761	0.1486877911
762	0.1484210605
763	0.1481286401
764	0.1478954236
765	0.1476986319
766	0.1474556283
767	0.147136441
768	0.1468074258
769	0.1465259084
770	0.146175505
771	0.145901512
772	0.1456130186
773	0.145350466
774	0.1450898266
775	0.1449028443
776	0.1446602789
777	0.1443229288
778	0.1440895534
779	0.1438329135
780	0.1436091205
781	0.1433806075
782	0.1431708005
783	0.1428633777
784	0.1426019363
785	0.1423427937
786	0.1420544732
787	0.141697941
788	0.1414295164
789	0.1412403232
790	0.1408943181
791	0.140604046
792	0.1403458409
793	0.1400586431
794	0.139811033
795	0.1394900042
796	0.1392685579
797	0.1390761339
798	0.138800522
799	0.1385163497
800	0.1382961462
801	0.1380855396
802	0.1377971852
803	0.137607787
804	0.1374084774
805	0.1371811502
806	0.1369134233
807	0.1367158391
808	0.1364706036
809	0.136213741
810	0.1359526108
811	0.1356906156
812	0.1354397829
813	0.135191403
814	0.1350226344
815	0.134764381
816	0.1344801188
817	0.1342066556
818	0.1339294534
819	0.1336974951
820	0.1334278719
821	0.1331381628
822	0.1328978924
823	0.1326583618
824	0.1324436041
825	0.1321921378
826	0.1320219889
827	0.1318333755
828	0.1316548065
829	0.1313926543
830	0.1311794577
831	0.1309367965
832	0.1307119808
833	0.1304610713
834	0.1302076486
835	0.1300462437
836	0.1298469139
837	0.129609989
838	0.1293744632
839	0.1291189696
840	0.1289585519
841	0.1288129313
842	0.1286116542
843	0.1283520312
844	0.128171818
845	0.1279315996
846	0.1277885964
847	0.1276128761
848	0.1273690124
849	0.1271569315
850	0.1269440362
851	0.126645123
852	0.1263792032
853	0.1261469179
854	0.1260275615
855	0.1259041182
856	0.1256980896
857	0.1255287741
858	0.1253181404
859	0.125119685
860	0.1249452319
861	0.1247179789
862	0.1244960711
863	0.1243270972
864	0.1241172233
865	0.1239780188
866	0.1237730807
867	0.1235243421
868	0.1232874064
869	0.1230546523
870	0.1228893506
871	0.1226967323
872	0.1224904183
873	0.1223253895
874	0.122111524
875	0.1219255228
876	0.1216954571
877	0.1214989851
878	0.1213098237
879	0.1211167624
880	0.1209254617
881	0.1207413233
882	0.1206243998
883	0.1204189247
884	0.1202398815
885	0.1200626505
886	0.1198913605
887	0.1196699416
888	0.1194841176
889	0.1193355113
890	0.119141686
891	0.1189919668
892	0.1187934755
893	0.1186347081
894	0.1184562876
895	0.1182577263
896	0.118118436
897	0.1178825048
898	0.1177163431
899	0.1175782875
900	0.117389865
901	0.1171965274
902	0.1170256084
903	0.116860694
904	0.116687153
905	0.116502297
906	0.1162723738
907	0.1160853727
908	0.1159435395
909	0.1157116677
910	0.1155752683
911	0.1154080814
912	0.1152162455
913	0.1150273653
914	0.114875374
915	0.1146633627
916	0.1144737622
917	0.1143068526
918	0.1141149793
919	0.1139324822
920	0.1139011839
921	0.113741764
922	0.1136292063
923	0.1134435267
924	0.1132561657
925	0.113109953
926	0.1129920912
927	0.1128348318
928	0.1126476928
929	0.112488617
930	0.1123046911
931	0.1121687552
932	0.1120205537
933	0.1118615083
934	0.1116519886
935	0.1114955697
936	0.1113657372
937	0.1112410663
938	0.111083527
939	0.1109418658
940	0.1107970014
941	0.1106000767
942	0.1104357285
943	0.1102301158
944	0.1100479825
945	0.1099050399
946	0.1097189517
947	0.1095344501
948	0.1093549453
949	0.1091909943
950	0.1090304262
951	0.1088045575
952	0.1086759089
953	0.1085405009
954	0.1083687098
955	0.1081847472
956	0.1079890313
957	0.107789591
958	0.1076049955
959	0.1074988436
960	0.1073512038
961	0.1072122929
962	0.1070701882
963	0.1069212911
964	0.1067379467
965	0.1066299402
966	0.1064525252
967	0.1063033031
968	0.1061726269
969	0.1060073921
970	0.1058125137
971	0.1056586589
972	0.1055167954
973	0.1053914134
974	0.1052122778
975	0.1050503283
976	0.1049242885
977	0.1047418805
978	0.1046214297
979	0.104482695
980	0.1043135322
981	0.1041777605
982	0.1040568993
983	0.1039103374
984	0.1037892107
985	0.1036431578
986	0.1034628846
987	0.1033119159
988	0.1031702323
989	0.1030508664
990	0.1028745383
991	0.1027360961
992	0.102589364
993	0.102428848
994	0.1023116347
995	0.1021891503
996	0.1020529493
997	0.1019079912
998	0.1017564398
999	0.1015970527
